,id,grammar_point,furigana,meaning,jlpt_level,page
0,1,ちゃいけない・じゃいけない,,must not do (spoken Japanese),N5,6
1,2,だ・です,,"to be (am, is, are, were, used to) present だ (casual)",N5,9
2,3,だけ,,only; just; as much as Verb (dictionary form),N5,12
3,4,だろう,,I think; it seems; probably; right? Verb (dictionary form),N5,15
4,5,で,,in; at; on; by; with; via Noun で,N5,18
5,6,でも,,but; however See details below..,N5,21
6,7,でしょう,,I think; it seems; probably; right? Verb (dictionary form),N5,23
7,8,どんな,,what kind of; what sort of どんな Noun,N5,26
8,9,どうして,,why; for what reason; how can be used mid-sentence or to start new,N5,28
9,10,どうやって,,how; in what way; by what means can be used at beginning or mid-sentence,N5,30
10,11,が,,subject marker; however; but Usage 1: subject marker,N5,32
11,12,があります,,there is; is (non-living things) がある / があります,N5,35
12,13,がほしい,,to want something,N5,38
13,14,がいます,,there is; to be; is (living things) がいる / がいます,N5,40
14,15,ほうがいい,,had better; it'd be better to; should~,N5,43
15,16,い,,i-adjectives present い,N5,45
16,17,いちばん,,the most; the best [A]+ が/は + いちばん,N5,48
17,18,いっしょに,,together often preceded with と,N5,50
18,19,いつも,,always; usually; habitually Can be used mid-sentence and also to start a,N5,52
19,20,じゃない・ではない,,to not be (am not; is not; are not) casual,N5,54
20,21,か,,question particle end of sentence か,N5,58
21,22,か〜か,,or Verb,N5,60
22,23,から,,because; since; from meaning 1: because; since,N5,62
23,24,かた,,the way of doing something; how to do,N5,66
24,25,けど,,but; however; although Use between 2 contradicting ideas,N5,68
25,26,けれども,,but; however; although Use between 2 contradicting ideas,N5,70
26,27,まだ,,still; not yet Verb (ている),N5,72
27,28,まだ〜ていません,,have not yet Verb (てない) *spoken,N5,74
28,29,まで,,until ~; as far as ~; to (an extent); even ~ Noun まで,N5,76
29,30,前に,まえに,before ~; in front of ~ Verb (dictionary form),N5,78
30,31,ませんか,,would you; do you want to; shall we~ Verb (polite negative) + か,N5,80
31,32,ましょう,,let's ~; shall we ~ Verb ます (stem form) ましょう,N5,82
32,33,ましょうか,,shall I ~; used to offer help to the listener Verb ます (stem form) ましょうか,N5,84
33,34,も,,too; also; as well Noun + も,N5,86
34,35,もう,,already; anymore; again; other See examples below,N5,88
35,36,な,,na-adjectives present な / だ,N5,91
36,37,なあ,,sentence ending particle; confirmation; end of sentence + な(あ),N5,93
37,38,ないで,,without doing~ ; To do [B] without doing [A] Verb (ない form) + で 2nd action,N5,95
38,39,ないでください,,please don't do Verb (ない form) + で ください,N5,97
39,40,なくてもいい,,don't have to Verb (ない form) ない くてもいい,N5,99
40,41,なくちゃ,,must do; need to; gotta do,N5,101
41,42,なくてはいけない,,must do; need to do,N5,104
42,43,なくてはならない,,must do; need to do,N5,106
43,44,なる,,to become Noun,N5,108
44,45,んです,,to explain something; show emphasis Verb (casual),N5,111
45,46,ね,,isn't it? right? eh? end of sentence particle,N5,113
46,47,に,,destination particle; in; at; on; to Noun に,N5,115
47,48,にいく,,go to do,N5,118
48,49,にする,,to decide on,N5,120
49,50,に へ,,to (indicates direction / destination),N5,122
50,51,の,,possessive particle Noun の + [B],N5,124
51,52,のです,,to explain something; show emphasis Verb (casual),N5,126
52,53,のがへた,,to be bad at doing something,N5,129
53,54,のがじょうず,,to be good at,N5,131
54,55,のが好き,のがすき,to like doing something,N5,133
55,56,ので,,because of; given that; since Verb,N5,137
56,57,を,,object marker particle Noun を Verb,N5,139
57,58,をください,,please give me~ Noun をください,N5,141
58,59,しかし,,but; however しかし + phrase,N5,143
59,60,すぎる,,too much,N5,145
60,61,たことがある,,to have done something before,N5,148
61,62,たい,,want to do something,N5,150
62,63,たり〜たり,,do such things as A and B Verb-た + り 〜 Verb-た + り + する,N5,153
63,64,てある,,is/has been done (resulting state),N5,155
64,65,ている,,ongoing action or current state,N5,158
65,66,てから,,after doing~ Verb (て form) から,N5,164
66,67,てください,,please do Verb (てform) ください,N5,166
67,68,てはいけない,,must not; may not; cannot,N5,168
68,69,てもいいです,,is OK to..; is alright to..; may I..? Verb (て form),N5,170
69,70,と,,and; with; as; connecting particle phrase と,N5,172
70,71,とき,,when; at this time Verb (casual form),N5,174
71,72,とても,,very; awfully; exceedingly とても + Adjective / Verb,N5,176
72,73,つもり,,plan to ~; intend to ~,N5,178
73,74,は,,topic marker See below,N5,180
74,75,は〜より・・・です,,[A] is more ~ than [B] Noun-1 + は + Noun-2 + より + Adj +です,N5,182
75,76,はどうですか,,how about; how is Noun はどうですか,N5,184
76,77,や,,and; or; connecting particle Noun + や + Noun,N5,186
77,78,よ,,you know; emphasis (ending particle) end of sentence + よ,N5,188
78,79,より〜ほうが,,[A] is more than [B] Verb-1 より Verb-2 ほうが ~,N5,191
79,1,間,あいだ,while; during; between Verb (dictionary form),N4,8
80,2,間に,あいだに,"while/during~ something happened Verb (casual, non-past)",N4,11
81,3,あまり〜ない,,"not very, not much い-adjective + いくない",N4,14
82,4,後で,あとで,after ~; later Verb (た form),N4,16
83,5,ば,,conditional form; If [A] then [B] special formatting rules (see below),N4,18
84,6,場合は,ばあいは,in the event of; in the case that Verb (casual),N4,23
85,7,ばかり,,only; nothing but Noun,N4,25
86,8,だけで,,just by; just by doing Verb (casual),N4,27
87,9,出す,だす,to suddenly begin; to suddenly appear,N4,29
88,10,でございます,,to be (honorific) です -> でございます,N4,31
89,11,でも,,... or something Noun でも,N4,33
90,12,ではないか,,right?; isn't it?,N4,35
91,13,が必要,がひつよう,need; necessary,N4,37
92,14,がする,,to smell; hear; taste,N4,39
93,15,がり,,personality; tend to~; sensitivity towards~ い-adjective い,N4,41
94,16,がる・がっている,,"to show signs of; to appear; to feel, to think",N4,44
95,17,ございます,,"to be, to exist (the polite form of いる/ある) あります changes to ございます",N4,47
96,18,始める,はじめる,to start; to begin to ~,N4,49
97,19,はずだ,,it must be; it should be (expectation) Verb (dictionary form),N4,51
98,20,はずがない,,cannot be (impossible) Verb (dictionary form),N4,53
99,21,必要がある,ひつようがある,need to; it is necessary to,N4,55
100,22,意向形,いこうけい,volitional form ; let's do ~. see conjugation rules below...,N4,58
101,23,いらっしゃる,,to be; to come; to go (polite version) いる (changes to),N4,61
102,24,いたします,,to do (polite form of する) する (changes to) いたす,N4,63
103,25,じゃないか,,right? isn't it? let's~; confirmation phrase じゃないか,N4,65
104,26,かどうか,,whether or not Verb (casual form),N4,67
105,27,かしら,,I wonder phrase かしら,N4,69
106,28,かい,,turns a sentence into a yes/no question Sentence かい,N4,71
107,29,かもしれない,,might; perhaps; indicates possibility Verb (casual form),N4,73
108,30,かな,,I wonder; should I? Verb (dictionary form),N4,75
109,31,から作る,からつくる,made from; made with,N4,77
110,32,きっと,,surely; undoubtedly; almost certainly; most event,N4,79
111,33,こと,,"Verb nominalizer Verb (casual, non-past) こと",N4,83
112,34,ことがある,,there are times when,N4,85
113,35,ことができる,,can; able to,N4,87
114,36,ことになる,,It has been decided that..; it turns out that.. Verb (dictionary form),N4,90
115,37,ことにする,,to decide on,N4,92
116,38,くする,,to make something ~,N4,94
117,39,急に,きゅうに,suddenly Can be used mid-sentence and also to start a,N4,96
118,40,までに,,by; by the time; indicates time limit Verb (dictionary form),N4,98
119,41,まま,,as it is; current state; without changing Noun + の,N4,100
120,42,または,,both; or; otherwise; choice between [A] or Noun 1 + または + Noun 2,N4,103
121,43,みたいだ,,"like, similar to, resembling Verb (casual)",N4,105
122,44,みたいな,,"like, similar to Noun",N4,107
123,45,みたいに,,"like, similar to Verb (casual)",N4,109
124,46,も,,as many as; as much as; up to; nearly number,N4,111
125,47,な,,don’t ~ (order somebody to not do Verb (dictionary form) な,N4,113
126,48,など,,"such as, things like Noun など",N4,115
127,49,ながら,,while; during; as; simultaneously Verb ます (stem form) ながら + [B],N4,117
128,50,なかなか〜ない,,not easy to; struggling to; not able to~ なかなか Verb (negative form),N4,119
129,51,なければいけない,,must do something; have to do something,N4,121
130,52,なければならない,,must do something; have to do something,N4,123
131,53,なら,,if; in the case that ~ Noun,N4,125
132,54,なさい,,do this (soft/firm command),N4,127
133,55,なさる,,to do (honorific) する (changes to) なさる,N4,129
134,56,に気がつく,にきがつく,to notice; to realize Verb (casual) + こと に気がつく,N4,131
135,57,にみえる,,to look; to seem; to appear Verb (て form),N4,133
136,58,にする,,to make something ~,N4,135
137,59,にくい,,difficult to do Verb ます (stem form) にくい,N4,137
138,60,の中で,のなかで,"in, among Noun の中で",N4,139
139,61,のに,,"although, in spite of, even though Verb (casual form)",N4,141
140,62,のに,,to (do something); in order to Verb (dictionary form) のに,N4,143
141,63,のは〜だ,,[A] is [B]; the reason for [A] is [B] Verb (casual),N4,145
142,64,お〜ください,,please do (honorific) お Verb (ます stem) ください,N4,147
143,65,お〜になる,,to do (honorific),N4,149
144,66,おきに,,"repeated at intervals, every Noun (measurable) おきに",N4,151
145,67,終わる,おわる,to finish; to end,N4,153
