,Unnamed: 0,grammar_id,grammar_point,meaning
2,3039,3,ばかり,"about, approximately~ Noun (indicates time or distance) ばかり"
12,3118,13,だけは,to do all that one can Verb Same verb
13,3126,14,だって,"because; but; after all; even; too Noun + だって even, too"
21,3184,22,ふうに,this way; that way; in such a way; how
23,3201,24,げ,looks like; seems like; appears to~ な-adjective な
36,3305,37,上,for the sake of; from the standpoint of; as a Noun 上
41,3345,42,限り,"as long as; while… is the case; as far as; Verb (casual, non-past)"
53,3436,54,ことだ,should do~ used for suggestions or giving Verb (dictionary form)
55,3451,56,ことか,how…!; what…! Verb (casual)
57,3467,58,ことに,emphasize speaker's feelings; to my Verb (た form)
61,3497,62,まい,will not; will probably not; intend not to; U-verb (dictionary form)
66,3538,67,もの もん,because; indicates reason/ excuse/ Verb (casual) +（んだ）
81,3650,82,なお,still; yet; furthermore; in addition~ なお phrase
111,3871,112,にて,"in, at, with, by (formal particle) Noun にて"
116,3910,117,ぬ,negative verb conjugation; traditional Verb ない ぬ
117,3918,118,抜く,to do something from beginning to end; Verb ます (stem form) 抜く
133,4044,134,次第,"as soon as, dependent upon Verb ます (stem form) 次第"
156,4219,158,ては では,whenever; if; when~; repetitive action Verb (て form)
167,4311,169,とか（で）,I heard that~ Verb (casual form)
170,4333,172,ところに,at the time; just as I was~ Verb (た / ている / ていた)
172,4348,174,とも,"even if; no matter who, what, when, where, Verb ないく"
174,4362,176,つつ,while; even though; despite~ Verb ます (stem form) つつ (も)
176,4376,178,上は,now that; since; as long as~ Verb (dictionary form)
183,4430,185,より,"from~ (a time, place, or person) time, place or person より"
