,grammar_id,grammar_point,meaning
3023,1,あげく,to end up; in the end; finally; after all~ Verb (た form)
3031,2,あるいは,or; either; maybe; perhaps; possibly~ あるいは other option
3039,3,ばかり,"about, approximately~ Noun (indicates time or distance) ばかり"
3047,4,ばかりだ,continue to (go in negative direction)
3055,5,ばかりか,not only.. but also; as well as~ Verb (casual)
3063,6,ばかりに,simply because; on account of~ negative Verb (casual)
3071,7,ちなみに,by the way; in this connection; incidentally; ちなみに phrase
3078,8,ちっとも〜ない,(not) at all; (not) in the least~ ちっとも Verb (ない form)
3086,9,だけあって,being the case; precisely because; as Verb (casual)
3094,10,だけましだ,it’s better than; one should feel grateful for~ Verb (casual)
3102,11,だけに,being the case; precisely because; as one Verb (casual)
3110,12,だけのことはある,no wonder; as expected of; not ... for Verb (casual)
3118,13,だけは,to do all that one can Verb Same verb
3126,14,だって,"because; but; after all; even; too Noun + だって even, too"
3130,15,でしかない,merely; nothing but; no more than; there is Noun でしかない
3138,16,どころではない,not the time for; not the place for; far from; Verb (casual)
3146,17,どころか,"far from; anything but; let alone; not to Verb (casual, non-past)"
3153,18,どうやら,possibly; apparently; seems like; somehow; どうやら phrase
3161,19,どうせ,anyhow; in any case; at any rate; after all; no どうせ phrase
3169,20,得ない,unable to; cannot; it is not possible to~ Verb ます (stem form) 得ない
3177,21,再び,again; once more
3184,22,ふうに,this way; that way; in such a way; how
3194,23,がきっかけで をきっかけに,with… as a start; as a result of; taking Verb (た form) + の/こと
3201,24,げ,looks like; seems like; appears to~ な-adjective な
3210,25,逆に,conversely; on the contrary~ 逆に phrase
3218,26,はんめん,"while, although; on the other hand~ Verb (casual, non-past)"
3226,27,果たして,as was expected; sure enough; really; 果たして phrase
3235,28,いちおう,more or less; pretty much; roughly; ⼀応 phrase
3242,29,以外,with the exception of; excepting~ Noun 以外 + の、は、に）
3250,30,以上に,more than; not less than; beyond~ Verb (casual)
3258,31,以上は,because; since; seeing that~ Verb (casual)
3267,32,いきなり,abruptly; suddenly; all of a sudden; without いきなり action
3275,33,いっきに,in one go; without stopping; all at once; ⼀気に phrase
3283,34,いっぽうで,"on one hand, on the other hand; although~ Verb (casual)"
3290,35,いわゆる,what is called; as it is called; the so-called; so いわゆる Noun
3298,36,いよいよ,at last; finally; beyond doubt いよいよ phrase
3305,37,上,for the sake of; from the standpoint of; as a Noun 上
3312,38,かのように,as if; just like~ Noun
3321,39,かと思ったら,just when; no sooner than~
3329,40,か〜ないかのうちに,just as; right after; as soon as~ Verb + か
3336,41,かえって,on the contrary; rather; all the more; Phrase 1 かえって phrase 2
3345,42,限り,"as long as; while… is the case; as far as; Verb (casual, non-past)"
3353,43,甲斐がある,"it’s worth one’s efforts to do something Verb (casual, past)"
3360,44,かねない,(someone) might do something; something Verb ます (stem form) かねない
3367,45,かねる,unable to do something; can’t do something
3376,46,からいうと,in terms of; from the point of view of~
3383,47,からこそ,precisely because~ Verb (casual)
