,grammar_id,JLPT_level,grammar_point,meaning
0,0,N5,ちゃいけない・じゃいけない,must not do (spoken Japanese)
1,1,N5,だ・です,"to be (am, is, are, were, used to) present だ (casual)"
2,2,N5,だけ,only; just; as much as Verb (dictionary form)
3,3,N5,だろう,I think; it seems; probably; right? Verb (dictionary form)
4,4,N5,で,in; at; on; by; with; via Noun で
5,5,N5,でも,but; however See details below..
6,6,N5,でしょう,I think; it seems; probably; right? Verb (dictionary form)
7,7,N5,どんな,what kind of; what sort of どんな Noun
8,8,N5,どうして,why; for what reason; how can be used mid-sentence or to start new
9,9,N5,どうやって,how; in what way; by what means can be used at beginning or mid-sentence
10,10,N5,が,subject marker; however; but Usage 1: subject marker
11,11,N5,があります,there is; is (non-living things) がある / があります
12,12,N5,がほしい,to want something
13,13,N5,がいます,there is; to be; is (living things) がいる / がいます
14,14,N5,ほうがいい,had better; it'd be better to; should~
15,15,N5,いちばん,the most; the best [A]+ が/は + いちばん
16,16,N5,いっしょに,together often preceded with と
17,17,N5,いつも,always; usually; habitually Can be used mid-sentence and also to start a
18,18,N5,じゃない・ではない,to not be (am not; is not; are not) casual
19,19,N5,か,question particle end of sentence か
20,20,N5,か〜か,or Verb
21,21,N5,から,because; since; from meaning 1: because; since
22,22,N5,かた,the way of doing something; how to do
23,23,N5,けど,but; however; although Use between 2 contradicting ideas
24,24,N5,けれども,but; however; although Use between 2 contradicting ideas
25,25,N5,まだ,still; not yet Verb (ている)
26,26,N5,まだ〜ていません,have not yet Verb (てない) *spoken
27,27,N5,まで,until ~; as far as ~; to (an extent); even ~ Noun まで
28,28,N5,前に,before ~; in front of ~ Verb (dictionary form)
29,29,N5,ませんか,would you; do you want to; shall we~ Verb (polite negative) + か
30,30,N5,ましょう,let's ~; shall we ~ Verb ます (stem form) ましょう
31,31,N5,ましょうか,shall I ~; used to offer help to the listener Verb ます (stem form) ましょうか
32,32,N5,も,too; also; as well Noun + も
33,33,N5,もう,already; anymore; again; other See examples below
34,34,N5,なあ,sentence ending particle; confirmation; end of sentence + な(あ)
35,35,N5,ないで,without doing~ ; To do [B] without doing [A] Verb (ない form) + で 2nd action
36,36,N5,ないでください,please don't do Verb (ない form) + で ください
37,37,N5,なくてもいい,don't have to Verb (ない form) ない くてもいい
38,38,N5,なくちゃ,must do; need to; gotta do
39,39,N5,なくてはいけない,must do; need to do
40,40,N5,なくてはならない,must do; need to do
41,41,N5,なる,to become Noun
42,42,N5,んです,to explain something; show emphasis Verb (casual)
43,43,N5,ね,isn't it? right? eh? end of sentence particle
44,44,N5,に,destination particle; in; at; on; to Noun に
45,45,N5,にいく,go to do
46,46,N5,にする,to decide on
47,47,N5,に へ,to (indicates direction / destination)
48,48,N5,の,possessive particle Noun の + [B]
49,49,N5,のです,to explain something; show emphasis Verb (casual)
50,50,N5,のがへた,to be bad at doing something
51,51,N5,のがじょうず,to be good at
52,52,N5,のが好き,to like doing something
53,53,N5,ので,because of; given that; since Verb
54,54,N5,を,object marker particle Noun を Verb
55,55,N5,をください,please give me~ Noun をください
56,56,N5,しかし,but; however しかし + phrase
57,57,N5,すぎる,too much
58,58,N5,たことがある,to have done something before
59,59,N5,たい,want to do something
60,60,N5,たり〜たり,do such things as A and B Verb-た + り 〜 Verb-た + り + する
61,61,N5,てある,is/has been done (resulting state)
62,62,N5,ている,ongoing action or current state
63,63,N5,てから,after doing~ Verb (て form) から
64,64,N5,てください,please do Verb (てform) ください
65,65,N5,てはいけない,must not; may not; cannot
66,66,N5,てもいいです,is OK to..; is alright to..; may I..? Verb (て form)
